Jul 06 22:55:25 2016 | they're BAD NEWS
Jul 06 22:55:25 2016 | BibleThump
Jul 06 22:55:25 2016 | THANKS PURGE
Jul 06 22:55:25 2016 | LUL
Jul 06 22:55:26 2016 | hahaha women are troublesome. so funny :D
Jul 06 22:55:26 2016 | they're unBEARable amirite?!?
Jul 06 22:55:26 2016 | Those birds are pooping
Jul 06 22:55:26 2016 | tri1 tri2 tri3 Mau5
Jul 06 22:55:26 2016 | !next
Jul 06 22:55:27 2016 | PedoBear
Jul 06 22:55:27 2016 | @420Luneth Next Run is [ Hook ] Run by [ LivelyRaccoon ] Category is [ Any% ]
Jul 06 22:55:27 2016 | SHOTS FIRED
Jul 06 22:55:28 2016 | START
Jul 06 22:55:28 2016 | SHURIKEN
Jul 06 22:55:28 2016 | BEARS
Jul 06 22:55:29 2016 | Kreygasm MINNIE IS SO HOT Kreygasm
Jul 06 22:55:29 2016 | suicide is always an option Kappa
Jul 06 22:55:29 2016 | I'M DONE
Jul 06 22:55:30 2016 | Summit in the pit LUL
Jul 06 22:55:30 2016 | I LOVE THIS GAME
Jul 06 22:55:30 2016 | Cabba
Jul 06 22:55:30 2016 | he gives up on life if minnie dies
Jul 06 22:55:30 2016 | TwitchRPG Mau5
Jul 06 22:55:31 2016 | true love
Jul 06 22:55:31 2016 | DEAD MOUSE
Jul 06 22:55:31 2016 | SUMMITS IN THE PIT
Jul 06 22:55:32 2016 | TREES WutFace
Jul 06 22:55:32 2016 | Cumtrees Kreygasm
Jul 06 22:55:32 2016 | KYS
Jul 06 22:55:33 2016 | IM DONE FeelsBadMan
Jul 06 22:55:33 2016 | Hairy Kregasm
Jul 06 22:55:33 2016 | tits
Jul 06 22:55:33 2016 | KYS LUL
Jul 06 22:55:34 2016 | What is this? MARRIAGE?
Jul 06 22:55:34 2016 | is this a Speed run?
Jul 06 22:55:34 2016 | Mau5
Jul 06 22:55:35 2016 | !schedule
Jul 06 22:55:35 2016 | no reason without minnie FeelsBadMan
Jul 06 22:55:35 2016 | tons of damage
Jul 06 22:55:35 2016 | HAIRY Kreygasm
Jul 06 22:55:35 2016 | Bad news bears.
Jul 06 22:55:35 2016 | Is this Friday the 13th WutFace?
Jul 06 22:55:35 2016 | Cabba
Jul 06 22:55:36 2016 | GERMENCH RUMMEL PogChamp
Jul 06 22:55:36 2016 | PedoBear ?
Jul 06 22:55:36 2016 | MINNIE WutFace
Jul 06 22:55:36 2016 | ---------------------
Jul 06 22:55:36 2016 | UNBEARABLE
Jul 06 22:55:37 2016 | ayyayayayay
Jul 06 22:55:37 2016 | ENEMY GRAB
Jul 06 22:55:37 2016 | MOUSE SKIN FOR ICE CLIMBERS PogChamp ?
Jul 06 22:55:37 2016 | Double bears O_o
Jul 06 22:55:37 2016 | WINTER HAS COME
Jul 06 22:55:38 2016 | whipped mickey DansGame
Jul 06 22:55:39 2016 | Mau5 Mau5
Jul 06 22:55:39 2016 | what is this hawt gawbage
Jul 06 22:55:39 2016 | HAIRY
Jul 06 22:55:40 2016 | MASSIVE DAMAGE
Jul 06 22:55:40 2016 | DA BEARS
