Jul 07 03:13:56 2016 | hi
Jul 07 03:14:02 2016 | ку
Jul 07 03:14:06 2016 | привет)
Jul 07 03:21:53 2016 | matht osf oyufkj
Jul 07 03:22:56 2016 | повтори, не услышал))
Jul 07 03:23:24 2016 | нет вроде
Jul 07 03:23:29 2016 | ну пока
Jul 07 03:23:37 2016 | ну покрайней мере
Jul 07 03:23:47 2016 | тебе не показывал
Jul 07 03:24:01 2016 | reeree
Jul 07 03:30:08 2016 | а ты днем катаешь?или ночью только?)
Jul 07 03:31:34 2016 | найс)не то что у моего брата))
Jul 07 03:32:23 2016 | да он "супер стримером" задался 150 просмотров за месяц)
Jul 07 03:32:52 2016 | правда он без рекламы и всякого такого)
Jul 07 03:34:58 2016 | п-прибыль
Jul 07 03:35:51 2016 | да я был тогда на стриме)
Jul 07 03:40:10 2016 | чет смотрю на часы и мне плохо...мне надо к 8 уже быть водном месте))))сонливый приду)
Jul 07 03:42:34 2016 | пойду поем что-ли, приду минут через 10-15
Jul 07 04:10:59 2016 | здрасте мардасте
Jul 07 04:11:06 2016 | я новый зритасте
Jul 07 04:11:55 2016 | 40 подписчик
Jul 07 04:12:00 2016 | юбилей!
Jul 07 04:12:43 2016 | так запомнишь что по айпи вычеслишь
Jul 07 04:13:59 2016 | ты стан на область давай там рэнджа неправильная там на самом деле длиннее шипы
Jul 07 04:14:10 2016 | это как с ультом квопы
Jul 07 04:14:19 2016 | ща бы мусору сапорта пикнуть мда
Jul 07 04:14:50 2016 | сделай звук подписки как скример
Jul 07 04:15:13 2016 | качнул бы мана дрэйн
Jul 07 04:15:17 2016 | на 1
Jul 07 04:15:23 2016 | ману бы выкачивад
Jul 07 04:15:25 2016 | л*
Jul 07 04:15:31 2016 | и хватит всех материть
Jul 07 04:15:42 2016 | так ты тимплей не наладишь
Jul 07 04:15:55 2016 | плиз не матери не кого
Jul 07 04:16:11 2016 | раки в драке)
Jul 07 04:16:21 2016 | нах
Jul 07 04:17:32 2016 | у меня была позавчера бомбалейла я даже психанул и ливнул друг спиздил аегу когда я был на кор герое а он саппорт и подсунул телепор мне
Jul 07 04:18:53 2016 | мне не в падло я твоя аудитория буду и поддерживать тебя буду
Jul 07 04:19:41 2016 | ого, Алмаз на саппорте
Jul 07 04:19:59 2016 | буду с тобой если не прочь катать даже
Jul 07 04:20:27 2016 | @riadxxx новоиспеченный фанат?
Jul 07 04:20:41 2016 | @sad_ananastya :3
Jul 07 04:20:53 2016 | они дауны
Jul 07 04:21:18 2016 | Ты еще с ним не играл/не знаешь его, красава блин)
Jul 07 04:21:27 2016 | я люблю кери брать свена там морфа
Jul 07 04:21:45 2016 | вчера затащил
Jul 07 04:21:49 2016 | 2 катки
Jul 07 04:21:52 2016 | 1 свен
Jul 07 04:21:54 2016 | 2 морф
Jul 07 04:22:14 2016 | стой
Jul 07 04:22:22 2016 | они не до конца ливнули
Jul 07 04:22:40 2016 | там можно было покинуть вроде
Jul 07 04:22:50 2016 | там красное было
Jul 07 04:22:54 2016 | если не видел
Jul 07 04:23:04 2016 | походу баг
Jul 07 04:23:06 2016 | а над красной кнопочкой так "игру можно спокойно покинуть"
Jul 07 04:23:35 2016 | ну короче меня хлеблм не корми дай на кери катнуть щатащу
Jul 07 04:23:40 2016 | затащу*
Jul 07 04:23:54 2016 | а че не на про сцене тогда тащер?
Jul 07 04:23:59 2016 | если норм сап в тиме я тащер
Jul 07 04:24:07 2016 | @sad_ananastya тиму над собрать
Jul 07 04:24:13 2016 | другантесов мало
Jul 07 04:24:18 2016 | вокруг одного керри саппорт не вьется
Jul 07 04:24:42 2016 | ВЫВЕЗЕТ ОН В ПРО СЦЕНЕ, вместо Денди)
Jul 07 04:24:57 2016 | да ты и так про дендт
Jul 07 04:24:59 2016 | и
Jul 07 04:25:06 2016 | и миракл отдыхают
Jul 07 04:25:17 2016 | вывезу "нахер нахер"
Jul 07 04:25:48 2016 | миракл топовый мидер
Jul 07 04:25:53 2016 | миракл не человек
Jul 07 04:25:56 2016 | утверждаю
Jul 07 04:26:01 2016 | у меня кошка ходит с видом, будто ее все достали и она устала от жизни, это нормально?
Jul 07 04:26:22 2016 | @sad_ananastya нормально у меня тоже кошка и ходит усталая
Jul 07 04:26:28 2016 | будет больше стримов
Jul 07 04:26:35 2016 | буду чаще присудствовать
Jul 07 04:26:43 2016 | спит с отдним открытым глазом
Jul 07 04:26:48 2016 | пиздос конечно, крипово смотрится
Jul 07 04:26:57 2016 | давай затащи всем врагам пуканы подпали
Jul 07 04:27:16 2016 | у меня тоже такая кошка
Jul 07 04:27:18 2016 | как у тебя
Jul 07 04:27:55 2016 | я буду дух марально подымать
Jul 07 04:28:15 2016 | я юбилейный подписончик
Jul 07 04:28:24 2016 | урааа
Jul 07 04:28:58 2016 | я тебе буду еще подарочки дарить
Jul 07 04:29:15 2016 | ударные будто от обезьяны, которая хлопает тарелками лол
Jul 07 04:29:42 2016 | ток в стиме сначало добавь
Jul 07 04:29:48 2016 | не все любят подарочки
Jul 07 04:30:02 2016 | ник riaddnsufa без авы
Jul 07 04:30:33 2016 | !id
Jul 07 04:30:37 2016 | !id
Jul 07 04:30:48 2016 | !mmr
Jul 07 04:30:55 2016 | !id блять сука скинул уёбище
Jul 07 04:31:01 2016 | :3 шутканул
Jul 07 04:31:19 2016 | 7 минут ищет игру? серьезно?
Jul 07 04:31:51 2016 | то чувство когда морф качается лучше тебя D
Jul 07 04:31:54 2016 | шутканул
Jul 07 04:31:58 2016 | )
Jul 07 04:32:01 2016 | 154787578
Jul 07 04:32:27 2016 | чет так захотелось на пудже покатать
Jul 07 04:32:46 2016 | @sad_ananastya оставь это чувство
Jul 07 04:32:50 2016 | пудж говно
Jul 07 04:33:10 2016 | да потому что у тебя в играх только пуджэ
Jul 07 04:33:16 2016 | поэтому его и пикают против тебя сразу
Jul 07 04:33:34 2016 | за пуууджа играют люди соски ломбомжа
Jul 07 04:33:56 2016 | сет на магнуса нормчик
Jul 07 04:34:03 2016 | мне нравится сет на магнуса
Jul 07 04:34:17 2016 | а мне на бейна, потому что бейн, блять, шикарен.
Jul 07 04:34:28 2016 | хаю хай свами форест гай
Jul 07 04:34:47 2016 | @forest121212 дивангай*
Jul 07 04:35:02 2016 | магнус шикарен
Jul 07 04:35:02 2016 | бейн сам по себе шикарный герой
Jul 07 04:35:03 2016 | а не сет
Jul 07 04:35:05 2016 | и свен
Jul 07 04:35:15 2016 | купить хочешь?
Jul 07 04:35:19 2016 | У ВОЙДА БЛЯТЬ ТОЖЕ ГЛАЗ НЕТ, ЧТО ЗА ДИСКРИМИНАЦИЯ
Jul 07 04:35:30 2016 | А У СФ ЧТО С НОГАМИ?
Jul 07 04:35:31 2016 | бейн блять призрачная лама
Jul 07 04:35:38 2016 | если ты не в курсе
Jul 07 04:35:59 2016 | покупай на видос
Jul 07 04:36:09 2016 | и збс будет
Jul 07 04:36:17 2016 | он не призрачная лама, он воплощение кошмарных снов
Jul 07 04:36:24 2016 | войд брутальнее
Jul 07 04:36:37 2016 | свен бруталный с сетом
Jul 07 04:36:39 2016 | лол, руки на сфа такие дешевые стали?
Jul 07 04:36:43 2016 | какой сайт? дай дай дай
Jul 07 04:37:10 2016 | нихуя
Jul 07 04:37:28 2016 | сет на свена глянь плиз
Jul 07 04:37:29 2016 | не дота2маркет?
Jul 07 04:37:31 2016 | https://market.dota2.net/item/1473261481-1762159346-Scavenger%20of%20the%20Basilisk/
Jul 07 04:37:34 2016 | дадада
Jul 07 04:37:36 2016 | ясно
Jul 07 04:37:39 2016 | аххахха
Jul 07 04:37:43 2016 | плииз глянь сет на свена плииз
Jul 07 04:37:43 2016 | я там все покупаю :D
Jul 07 04:37:58 2016 | @sad_ananastya сука дай ему мой коментарий читануть
Jul 07 04:38:11 2016 | глянь сет на свена с сундука
Jul 07 04:38:13 2016 | 150 рублей
Jul 07 04:38:16 2016 | руки
Jul 07 04:38:35 2016 | блять
Jul 07 04:38:41 2016 | с сундука
Jul 07 04:38:49 2016 | ну ты и ахуевший, конечно @riadxxx
Jul 07 04:39:25 2016 | самый последний сетик и иморталку
Jul 07 04:40:30 2016 | там круто скилл 3 меняется
Jul 07 04:40:42 2016 | в пробке попробуй
Jul 07 04:41:02 2016 | z of regk. xnj yb,enm
Jul 07 04:41:11 2016 | я ща куплю что нибудь
Jul 07 04:41:23 2016 | имморталку за 15 рублей?
Jul 07 04:41:33 2016 | @forest121212
Jul 07 04:41:41 2016 | слыш глянь на клока сет за косарь
Jul 07 04:41:51 2016 | я его выиграл на конкурсе
Jul 07 04:41:57 2016 | у 1 канала
Jul 07 04:42:16 2016 | да рано еще флудить
Jul 07 04:42:55 2016 | да
Jul 07 04:43:00 2016 | я его выиграл
Jul 07 04:43:10 2016 | 23К ЗА УЩЕРБНЫЙ СЕТ ОМГ
Jul 07 04:43:12 2016 | скрин кину потом
Jul 07 04:43:55 2016 | хааахаах
Jul 07 04:44:03 2016 | ща бы катку искать 3 часа
Jul 07 04:44:03 2016 | да два дня эта херня уже
Jul 07 04:44:04 2016 | лол
Jul 07 04:44:07 2016 | ллоооооооолл
Jul 07 04:44:10 2016 | аааахахахахах
Jul 07 04:44:13 2016 | то 10 не принимает, то не загружаются
Jul 07 04:44:18 2016 | 3 часа катку ждал
Jul 07 04:44:19 2016 | хахахахаахахах
Jul 07 04:44:26 2016 | я щас рофлю
Jul 07 04:44:55 2016 | its rofl time
Jul 07 04:45:24 2016 | устрой розыгрыш
Jul 07 04:45:27 2016 | потом
Jul 07 04:45:28 2016 | плиз
Jul 07 04:45:38 2016 | уже юбилей был
Jul 07 04:45:40 2016 | какой розыгрыш, дядя
Jul 07 04:45:41 2016 | даже
Jul 07 04:46:04 2016 | че за странные звуки робототехники
Jul 07 04:46:17 2016 | мы ничё не видем
Jul 07 04:46:26 2016 | аааа, видела это, да
Jul 07 04:46:48 2016 | киберпуджик
Jul 07 04:47:35 2016 | я куплю через 8 дней
Jul 07 04:47:46 2016 | она ахуенная
Jul 07 04:48:01 2016 | пропиши на ютубе за пуджа метагейм
Jul 07 04:48:13 2016 | и видосик поставь
Jul 07 04:48:35 2016 | ну я протоже
Jul 07 04:48:49 2016 | пизда как хочю её
Jul 07 04:48:57 2016 | ну плиз
Jul 07 04:49:19 2016 | ауууу
